id,title,company,location,skills,date_posted,source,scraped_at
49,Front-end Developer in Karachi | Webnet Pakistan,Webnet Pakistan Pvt Ltd,"Karāchi, Sindh, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:36
50,Junior/Mid Level Backend Developer,Esevel,"Karāchi, Sindh, Pakistan",General,1 year ago,LinkedIn,5/25/2025 1:36
51,Front-End Developer,Spiralyze,"Lahore, Punjab, Pakistan",General,3 weeks ago,LinkedIn,5/25/2025 1:36
52,Associate Software Engineer - Open Stack,Devsinc,"Lahore, Punjab, Pakistan",General,4 weeks ago,LinkedIn,5/25/2025 1:36
53,Associate Software Engineer,Dubizzle Labs,"Lahore, Punjab, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:36
54,Associate Software Engineer- Unity,Devsinc,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
55,Front-end Developer,ibex,"Karāchi, Sindh, Pakistan",General,2 days ago,LinkedIn,5/25/2025 1:36
56,Software Engineer - Fresh - 2024/25,Arkhitech,"Islamabad, Islāmābād, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:36
57,Software Engineer- MERN,Devsinc,"Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
58,Software Engineer - Fresh - 2024/25,Arkhitech,"Lahore, Punjab, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:36
59,Software Engineer- NodeJs,Devsinc,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
60,Junior Frontend Developer,Convo,"Islamabad, Islāmābād, Pakistan",General,3 days ago,LinkedIn,5/25/2025 1:36
61,Software Engineer - Backend,Motive,Pakistan,General,1 week ago,LinkedIn,5/25/2025 1:36
62,Associate Software Engineer - PHP Laravel,Devsinc,"Lahore, Punjab, Pakistan","PHP, Laravel",1 week ago,LinkedIn,5/25/2025 1:36
63,Software Engineer - Laravel,Dubizzle Labs,"Lahore, Punjab, Pakistan",Laravel,6 days ago,LinkedIn,5/25/2025 1:36
